Conexões (1-indexado):
26 41
26 42
26 48
26 61
26 62
26 63
26 66
26 72
26 75
26 76
26 77
26 85
26 89
26 90
26 94
26 100
27 29
27 30
27 32
27 39
27 56
27 58
27 70
27 71
27 74
27 78
27 83
27 84
27 86
27 91
27 96
28 36
28 37
28 40
28 46
28 49
28 50
28 51
28 54
28 55
28 64
28 73
28 79
28 92
28 95
28 99
29 30
29 32
29 34
29 39
29 47
29 53
29 56
29 84
29 91
29 96
30 32
30 34
30 39
30 47
30 53
30 56
30 70
30 84
30 91
30 96
30 97
31 44
31 52
31 57
31 59
31 60
31 61
31 65
31 66
31 67
31 68
31 72
31 75
31 76
31 77
31 81
31 88
31 93
31 100
32 34
32 46
32 47
32 53
32 56
32 70
32 73
32 79
32 84
32 91
32 97
33 34
33 35
33 37
33 42
33 53
33 54
33 56
33 62
33 70
33 73
33 77
33 79
33 84
33 85
33 89
33 90
33 94
34 37
34 46
34 47
34 53
34 56
34 64
34 70
34 73
34 79
34 84
34 85
34 90
34 91
34 97
35 43
35 48
35 56
35 62
35 66
35 70
35 71
35 72
35 78
35 80
35 81
35 82
35 83
35 84
35 85
35 86
35 88
35 90
35 94
35 100
36 40
36 49
36 50
36 51
36 54
36 55
36 92
36 95
36 98
36 99
37 42
37 46
37 49
37 50
37 53
37 54
37 55
37 56
37 62
37 64
37 70
37 73
37 79
37 85
37 89
37 90
37 94
37 95
38 41
38 42
38 50
38 51
38 55
38 61
38 62
38 63
38 75
38 76
38 77
38 89
38 92
38 98
39 56
39 58
39 70
39 71
39 74
39 78
39 83
39 84
39 86
39 91
39 96
40 49
40 50
40 51
40 54
40 55
40 64
40 92
40 95
40 99
41 42
41 51
41 57
41 59
41 61
41 63
41 75
41 76
41 77
41 92
41 98
42 49
42 50
42 51
42 55
42 61
42 62
42 63
42 75
42 77
42 85
42 89
42 90
42 92
42 94
42 98
43 45
43 48
43 58
43 65
43 69
43 71
43 74
43 78
43 80
43 81
43 82
43 83
43 86
43 87
43 88
44 52
44 57
44 59
44 67
44 76
45 58
45 69
45 74
45 80
45 86
45 87
46 47
46 53
46 54
46 64
46 73
46 79
46 97
47 53
47 64
47 73
47 79
47 97
48 56
48 62
48 65
48 66
48 68
48 70
48 71
48 72
48 78
48 80
48 81
48 82
48 83
48 84
48 85
48 86
48 88
48 90
48 94
48 100
49 50
49 51
49 54
49 55
49 64
49 73
49 79
49 92
49 95
49 99
50 51
50 54
50 55
50 64
50 73
50 89
50 92
50 95
50 98
50 99
51 55
51 61
51 63
51 89
51 92
51 95
51 98
51 99
52 57
52 59
52 67
52 68
52 76
53 56
53 64
53 70
53 73
53 79
53 84
53 85
53 90
53 91
53 97
54 55
54 64
54 73
54 79
54 95
55 63
55 92
55 95
55 98
55 99
56 62
56 70
56 71
56 73
56 78
56 79
56 83
56 84
56 85
56 86
56 89
56 90
56 94
57 59
57 61
57 63
57 67
57 75
57 76
58 69
58 71
58 74
58 78
58 80
58 83
58 84
58 86
58 87
58 96
59 61
59 63
59 66
59 67
59 75
59 76
60 65
60 66
60 67
60 68
60 72
60 81
60 82
60 88
60 93
60 100
61 63
61 75
61 76
61 77
61 92
61 98
62 63
62 70
62 73
62 75
62 77
62 79
62 85
62 89
62 90
62 94
63 75
63 76
63 77
63 89
63 92
63 98
64 73
64 79
64 95
64 97
65 66
65 68
65 69
65 72
65 81
65 82
65 88
65 93
65 100
66 67
66 68
66 72
66 75
66 76
66 77
66 81
66 82
66 88
66 93
66 100
67 68
67 72
67 75
67 76
67 93
67 100
68 72
68 75
68 81
68 82
68 88
68 93
68 100
69 74
69 80
69 82
69 86
69 87
70 71
70 78
70 79
70 83
70 84
70 85
70 86
70 89
70 90
70 94
71 74
71 78
71 80
71 83
71 84
71 85
71 86
71 87
71 88
71 90
71 96
72 75
72 76
72 77
72 81
72 82
72 88
72 93
72 94
72 100
73 79
73 85
73 89
73 90
73 97
74 78
74 80
74 83
74 86
74 87
74 96
75 76
75 77
75 88
75 94
75 100
76 77
77 85
77 89
77 90
77 94
77 100
78 80
78 83
78 84
78 86
78 87
78 96
79 85
79 89
79 90
79 94
79 97
80 82
80 83
80 84
80 86
80 87
80 88
81 82
81 88
81 93
81 100
82 83
82 86
82 88
82 93
82 100
83 84
83 85
83 86
83 88
83 90
83 94
83 96
84 85
84 86
84 90
84 94
84 96
85 89
85 90
85 94
86 87
86 88
86 96
88 93
88 94
88 100
89 90
89 94
90 94
91 96
92 95
92 98
92 99
93 100
94 100
95 98
95 99
98 99

Soma total das distâncias: 6853.022737
