Conexões (1-indexado):
1 3
1 7
1 9
1 13
1 15
1 19
1 20
2 5
2 6
2 8
2 10
2 11
2 12
2 14
2 17
2 18
3 7
3 9
3 13
3 15
3 19
3 20
4 5
4 6
4 13
4 16
4 20
5 6
5 8
5 10
5 11
5 12
5 16
5 17
5 18
6 8
6 10
6 11
6 12
6 16
6 17
6 18
7 9
7 13
7 15
7 19
7 20
8 9
8 10
8 11
8 12
8 14
8 17
8 18
8 20
9 13
9 15
9 17
9 18
9 19
9 20
10 11
10 12
10 14
10 17
10 18
11 12
11 14
11 17
11 18
12 14
12 17
12 18
13 15
13 16
13 20
14 17
14 18
15 19
15 20
16 20
17 18
17 20
18 20
19 20

Soma total das distâncias: 890.933465
