Conexões (1-indexado):
1 8
1 12
1 14
1 21
1 27
1 31
1 33
1 34
1 36
1 37
1 44
1 46
2 3
2 7
2 9
2 16
2 18
2 23
2 29
2 31
2 35
2 40
2 45
2 48
3 5
3 7
3 9
3 15
3 16
3 18
3 20
3 23
3 29
3 31
3 35
3 40
3 43
3 45
3 47
3 48
4 5
4 10
4 11
4 15
4 17
4 22
4 25
4 26
4 28
4 30
4 38
4 39
4 42
4 43
4 49
4 50
5 6
5 7
5 9
5 11
5 13
5 15
5 16
5 17
5 19
5 20
5 22
5 26
5 28
5 32
5 35
5 42
5 43
5 47
5 48
5 49
5 50
6 15
6 16
6 22
6 25
6 28
6 35
6 38
6 43
6 48
7 9
7 15
7 16
7 18
7 23
7 29
7 35
7 40
7 45
7 48
8 12
8 13
8 14
8 19
8 20
8 21
8 27
8 31
8 32
8 33
8 34
8 36
8 37
8 44
8 46
8 47
8 49
9 13
9 15
9 16
9 19
9 20
9 23
9 29
9 31
9 32
9 35
9 36
9 40
9 43
9 45
9 47
9 48
9 49
9 50
10 11
10 13
10 17
10 19
10 22
10 24
10 26
10 30
10 32
10 39
10 41
10 42
10 49
10 50
11 13
11 15
11 17
11 19
11 20
11 22
11 24
11 26
11 28
11 30
11 32
11 39
11 41
11 42
11 43
11 47
11 49
11 50
12 13
12 14
12 19
12 20
12 21
12 24
12 27
12 31
12 32
12 33
12 34
12 36
12 37
12 42
12 44
12 46
12 47
12 49
13 14
13 15
13 19
13 20
13 24
13 30
13 32
13 34
13 37
13 39
13 41
13 42
13 47
13 49
13 50
14 19
14 21
14 24
14 30
14 32
14 34
14 37
14 42
14 46
14 49
15 16
15 17
15 19
15 20
15 22
15 28
15 31
15 32
15 35
15 42
15 43
15 47
15 48
15 49
15 50
16 18
16 20
16 23
16 28
16 31
16 35
16 40
16 43
16 47
16 48
17 22
17 25
17 26
17 28
17 30
17 38
17 39
17 42
17 43
17 48
17 49
17 50
18 23
18 29
18 40
18 45
19 20
19 21
19 24
19 30
19 32
19 34
19 37
19 39
19 41
19 42
19 46
19 47
19 49
19 50
20 23
20 31
20 32
20 35
20 36
20 37
20 42
20 43
20 47
20 48
20 49
20 50
21 27
21 31
21 32
21 33
21 34
21 36
21 37
21 44
21 46
22 25
22 26
22 28
22 35
22 38
22 39
22 43
22 48
22 50
23 29
23 31
23 36
23 40
23 44
23 45
23 47
24 30
24 32
24 34
24 37
24 39
24 41
24 42
24 49
25 26
25 28
25 35
25 38
25 43
25 48
26 28
26 38
26 39
26 43
26 50
27 31
27 33
27 36
27 37
27 44
27 46
28 35
28 38
28 39
28 43
28 48
28 50
29 31
29 36
29 40
29 45
30 32
30 34
30 39
30 41
30 42
30 49
30 50
31 36
31 37
31 40
31 44
31 45
31 47
32 34
32 37
32 39
32 41
32 42
32 46
32 47
32 49
32 50
33 36
33 44
33 46
34 37
34 41
34 42
34 46
34 49
35 43
35 47
35 48
35 50
36 37
36 40
36 44
36 45
36 47
37 42
37 44
37 46
37 47
37 49
38 43
38 48
38 50
39 41
39 42
39 43
39 49
39 50
40 45
41 42
41 49
42 47
42 49
42 50
43 47
43 48
43 50
44 46
47 48
47 49
47 50
48 50
49 50

Soma total das distâncias: 3554.197710
